Zip,Median $,Pop,city
15044,84957,22906,Pittsburgh
15101,72551,23852,Pittsburgh
15104,24093,11429,Pittsburgh
15106,48659,19291,Pittsburgh
15108,64014,38554,Pittsburgh
15120,38757,20451,Pittsburgh
15122,46052,22027,Pittsburgh
15126,64366,7184,Pittsburgh
15136,45550,22672,Pittsburgh
15143,84267,17390,Pittsburgh
15146,58279,29469,Pittsburgh
15201,35900,13553,Pittsburgh
15202,45961,20840,Pittsburgh
15203,39541,9631,Pittsburgh
15204,32525,9611,Pittsburgh
15205,47441,22850,Pittsburgh
15206,39661,31493,Pittsburgh
15207,35639,13181,Pittsburgh
15208,37759,13271,Pittsburgh
15209,54616,12946,Pittsburgh
15210,31997,31279,Pittsburgh
15211,44086,12234,Pittsburgh
15212,35831,32013,Pittsburgh
15213,32228,28417,Pittsburgh
15214,37779,17486,Pittsburgh
15215,73585,13521,Pittsburgh
15216,48409,25703,Pittsburgh
15217,59637,25674,Pittsburgh
15218,48658,14878,Pittsburgh
15219,22397,19320,Pittsburgh
15220,51164,18174,Pittsburgh
15221,37425,35590,Pittsburgh
15222,42764,1928,Pittsburgh
15223,42694,7854,Pittsburgh
15224,30284,12408,Pittsburgh
15225,40759,1231,Pittsburgh
15226,47119,14982,Pittsburgh
15227,48094,29842,Pittsburgh
15228,78749,18029,Pittsburgh
15229,55734,14371,Pittsburgh
15232,45928,11693,Pittsburgh
15233,18602,3065,Pittsburgh
15234,56447,14405,Pittsburgh
15235,48687,38193,Pittsburgh
15236,55607,30298,Pittsburgh
15237,70890,41478,Pittsburgh
15238,101352,12675,Pittsburgh
15239,65031,20726,Pittsburgh
15241,106046,20864,Pittsburgh
15243,78580,13416,Pittsburgh
15317,71994,30733,Pittsburgh
21211,48519,16888,Charlotte
28025,49299,41311,Charlotte
28027,61136,38445,Charlotte
28031,89177,14126,Charlotte
28075,80432,7743,Charlotte
28078,85720,27695,Charlotte
28104,94577,15780,Charlotte
28105,74386,30927,Charlotte
28127,46775,6985,Charlotte
28134,51856,7505,Charlotte
28173,89297,17652,Charlotte
28202,56632,5034,Charlotte
28203,60080,10068,Charlotte
28204,49877,4910,Charlotte
28205,37458,46232,Charlotte
28206,24984,12567,Charlotte
28207,148850,8669,Charlotte
28208,27448,35954,Charlotte
28209,64240,19752,Charlotte
28210,57651,41008,Charlotte
28211,73652,27516,Charlotte
28212,36232,35278,Charlotte
28213,40640,26009,Charlotte
28214,50528,20676,Charlotte
28215,48010,41818,Charlotte
28216,44037,29547,Charlotte
28217,35691,19651,Charlotte
28226,82899,35095,Charlotte
28227,55653,40283,Charlotte
28262,44560,21597,Charlotte
28269,63730,42216,Charlotte
28270,88425,26540,Charlotte
28273,51769,18037,Charlotte
28277,97891,33916,Charlotte
28278,76765,6312,Charlotte
29204,35943,19952,Charlotte
30101,81571,54373,Charlotte
44040,127313,3239,Cleveland
44101,9646,577,Cleveland
44102,25616,52158,Cleveland
44103,21796,25426,Cleveland
44104,16546,28297,Cleveland
44105,28348,53913,Cleveland
44106,28835,32154,Cleveland
44107,44345,56807,Cleveland
44108,24770,36564,Cleveland
44109,30614,45876,Cleveland
44110,24535,26451,Cleveland
44111,42117,42810,Cleveland
44112,27087,33504,Cleveland
44113,30283,19458,Cleveland
44114,22793,4081,Cleveland
44115,13316,7434,Cleveland
44116,65857,20812,Cleveland
44117,31078,11843,Cleveland
44118,58934,44836,Cleveland
44119,41491,13318,Cleveland
44120,40988,47597,Cleveland
44121,52603,35167,Cleveland
44122,78989,34990,Cleveland
44123,42198,18560,Cleveland
44124,67656,40205,Cleveland
44125,45439,30319,Cleveland
44126,54496,17491,Cleveland
44127,19168,9040,Cleveland
44128,35189,33647,Cleveland
44129,49152,30164,Cleveland
44130,47300,52529,Cleveland
44131,66188,20776,Cleveland
44132,43575,15345,Cleveland
44133,65574,28633,Cleveland
44134,49407,40517,Cleveland
44135,38615,28491,Cleveland
44136,77051,25880,Cleveland
44139,100310,22305,Cleveland
44142,53607,20872,Cleveland
44143,71546,23999,Cleveland
44144,44090,21844,Cleveland
44145,70631,31721,Cleveland
44146,43471,31640,Cleveland
53562,73968,23627,Madison
53590,70385,36294,Madison
53593,84972,19225,Madison
53703,25078,27958,Madison
53704,53358,44034,Madison
53705,61309,23494,Madison
53706,6359,1983,Madison
53711,66829,43858,Madison
53713,41359,22146,Madison
53714,55126,16463,Madison
53715,16488,8116,Madison
53716,60222,18419,Madison
53717,75889,11962,Madison
53718,72467,11753,Madison
53719,65796,28487,Madison
53726,46184,5177,Madison
60657,78623,65996,Charlotte
78409,34930,2939,Las Vegas
81058,33320,990,Scottsdale
85003,28267,9369,Phoenix
85004,28008,4965,Phoenix
85006,21620,25742,Phoenix
85007,33192,14040,Phoenix
85008,28761,51045,Phoenix
85009,26901,52520,Phoenix
85012,56276,6390,Phoenix
85013,45862,19314,Phoenix
85014,43555,24782,Phoenix
85015,35960,37644,Phoenix
85016,43849,33896,Phoenix
85017,31956,38872,Phoenix
85018,61619,36065,Phoenix
85019,35101,25042,Phoenix
85020,53300,32850,Phoenix
85021,44596,37743,Phoenix
85022,55878,46395,Phoenix
85023,51116,31274,Phoenix
85024,66833,22898,Phoenix
85027,53559,37140,Phoenix
85028,76242,19157,Phoenix
85029,44852,43233,Phoenix
85031,34265,30493,Phoenix
85032,51731,65485,Phoenix
85033,38121,53037,Phoenix
85034,14595,4193,Phoenix
85035,37889,47486,Phoenix
85037,52514,44771,Phoenix
85040,32681,29352,Phoenix
85041,48400,54947,Phoenix
85042,50325,40962,Phoenix
85043,50523,30560,Phoenix
85044,72699,37993,Phoenix
85045,115862,7238,Phoenix
85048,98126,33449,Phoenix
85050,77981,25736,Phoenix
85051,44120,40375,Phoenix
85053,53057,28480,Phoenix
85054,63451,5384,Phoenix
85083,98156,18104,Phoenix
85085,83975,17517,Phoenix
85086,87537,40495,Phoenix
85120,38285,28168,Mesa
85122,46183,50942,Chandler
85142,76505,48870,Tempe
85201,40225,46092,Tempe
85202,45509,37275,Mesa
85203,54171,35541,Mesa
85204,45808,60885,Mesa
85205,52491,39858,Mesa
85206,49456,33154,Mesa
85207,74388,44744,Mesa
85208,48190,34762,Mesa
85209,58669,37377,Phoenix
85210,44428,36464,Mesa
85212,72658,24492,Mesa
85213,68756,31797,Mesa
85215,65120,15963,Mesa
85224,64746,42796,Chandler
85225,57304,69810,Phoenix
85226,74939,37321,Phoenix
85233,77779,37564,Mesa
85234,80070,50014,Phoenix
85248,76887,29798,Mesa
85249,100623,36908,Chandler
85250,65018,15906,Phoenix
85251,55343,34390,Phoenix
85253,124687,17047,Phoenix
85254,87185,45801,Phoenix
85255,120666,37270,Scottsdale
85256,31892,4974,Scottsdale
85257,49327,26755,Phoenix
85258,75452,23342,Scottsdale
85259,107864,21422,Scottsdale
85260,84168,36056,Scottsdale
85262,93923,8156,Tempe
85264,29232,278,Scottsdale
85266,104076,11406,Scottsdale
85281,36350,57348,Phoenix
85282,52018,48671,Phoenix
85283,53997,44813,Phoenix
85284,117190,16479,Phoenix
85286,90420,38930,Mesa
85295,90611,38332,Mesa
85296,83742,36799,Chandler
85297,82132,26979,Chandler
85301,33510,60161,Phoenix
85302,46827,36909,Phoenix
85303,51462,30310,Phoenix
85304,65895,25883,Phoenix
85305,65771,10822,Phoenix
85306,55879,24191,Phoenix
85308,75335,63876,Phoenix
85310,92927,19007,Phoenix
85326,53190,47835,Tempe
85331,95488,26960,Phoenix
85339,71757,35586,Phoenix
85345,49216,56208,Phoenix
85353,54869,31011,Phoenix
85355,78852,8745,Phoenix
85374,50962,47146,Phoenix
85377,124258,3051,Scottsdale
85381,71355,24249,Phoenix
