Zip,Median $,class
15044,84957,6
15101,72551,5
15104,24093,1
15106,48659,3
15108,64014,4
15120,38757,2
15122,46052,3
15126,64366,4
15136,45550,3
15143,84267,6
15146,58279,4
15201,35900,2
15202,45961,3
15203,39541,2
15204,32525,1
15205,47441,3
15206,39661,2
15207,35639,2
15208,37759,2
15209,54616,3
15210,31997,1
15211,44086,2
15212,35831,2
15213,32228,1
15214,37779,2
15215,73585,5
15216,48409,3
15217,59637,4
15218,48658,3
15219,22397,1
15220,51164,3
15221,37425,2
15222,42764,2
15223,42694,2
15224,30284,1
15225,40759,2
15226,47119,3
15227,48094,3
15228,78749,5
15229,55734,4
15232,45928,3
15233,18602,1
15234,56447,4
15235,48687,3
15236,55607,4
15237,70890,5
15238,101352,6
15239,65031,4
15241,106046,6
15243,78580,5
15317,71994,5
21211,48519,3
28025,49299,3
28027,61136,4
28031,89177,6
28075,80432,6
28078,85720,6
28104,94577,6
28105,74386,5
28127,46775,3
28134,51856,3
28173,89297,6
28202,56632,4
28203,60080,4
28204,49877,3
28205,37458,2
28206,24984,1
28207,148850,6
28208,27448,1
28209,64240,4
28210,57651,4
28211,73652,5
28212,36232,2
28213,40640,2
28214,50528,3
28215,48010,3
28216,44037,2
28217,35691,2
28226,82899,6
28227,55653,4
28262,44560,3
28269,63730,4
28270,88425,6
28273,51769,3
28277,97891,6
28278,76765,5
29204,35943,2
30101,81571,6
44040,127313,6
44101,9646,1
44102,25616,1
44103,21796,1
44104,16546,1
44105,28348,1
44106,28835,1
44107,44345,2
44108,24770,1
44109,30614,1
44110,24535,1
44111,42117,2
44112,27087,1
44113,30283,1
44114,22793,1
44115,13316,1
44116,65857,4
44117,31078,1
44118,58934,4
44119,41491,2
44120,40988,2
44121,52603,3
44122,78989,5
44123,42198,2
44124,67656,5
44125,45439,3
44126,54496,3
44127,19168,1
44128,35189,2
44129,49152,3
44130,47300,3
44131,66188,4
44132,43575,2
44133,65574,4
44134,49407,3
44135,38615,2
44136,77051,5
44139,100310,6
44142,53607,3
44143,71546,5
44144,44090,2
44145,70631,5
44146,43471,2
53562,73968,5
53590,70385,5
53593,84972,6
53703,25078,1
53704,53358,3
53705,61309,4
53706,6359,1
53711,66829,4
53713,41359,2
53714,55126,3
53715,16488,1
53716,60222,4
53717,75889,5
53718,72467,5
53719,65796,4
53726,46184,3
60657,78623,5
78409,34930,2
81058,33320,1
85003,28267,1
85004,28008,1
85006,21620,1
85007,33192,1
85008,28761,1
85009,26901,1
85012,56276,4
85013,45862,3
85014,43555,2
85015,35960,2
85016,43849,2
85017,31956,1
85018,61619,4
85019,35101,2
85020,53300,3
85021,44596,3
85022,55878,4
85023,51116,3
85024,66833,4
85027,53559,3
85028,76242,5
85029,44852,3
85031,34265,1
85032,51731,3
85033,38121,2
85034,14595,1
85035,37889,2
85037,52514,3
85040,32681,1
85041,48400,3
85042,50325,3
85043,50523,3
85044,72699,5
85045,115862,6
85048,98126,6
85050,77981,5
85051,44120,2
85053,53057,3
85054,63451,4
85083,98156,6
85085,83975,6
85086,87537,6
85120,38285,2
85122,46183,3
85142,76505,5
85201,40225,2
85202,45509,3
85203,54171,3
85204,45808,3
85205,52491,3
85206,49456,3
85207,74388,5
85208,48190,3
85209,58669,4
85210,44428,2
85212,72658,5
85213,68756,5
85215,65120,4
85224,64746,4
85225,57304,4
85226,74939,5
85233,77779,5
85234,80070,5
85248,76887,5
85249,100623,6
85250,65018,4
85251,55343,4
85253,124687,6
85254,87185,6
85255,120666,6
85256,31892,1
85257,49327,3
85258,75452,5
85259,107864,6
85260,84168,6
85262,93923,6
85264,29232,1
85266,104076,6
85281,36350,2
85282,52018,3
85283,53997,3
85284,117190,6
85286,90420,6
85295,90611,6
85296,83742,6
85297,82132,6
85301,33510,1
85302,46827,3
85303,51462,3
85304,65895,4
85305,65771,4
85306,55879,4
85308,75335,5
85310,92927,6
85326,53190,3
85331,95488,6
85339,71757,5
85345,49216,3
85353,54869,3
85355,78852,5
85374,50962,3
85377,124258,6
85381,71355,5
85382,69722,5
85392,73655,5
85705,25811,1
87701,31055,1
89002,75534,5
89011,60941,4
89012,78899,5
89014,59652,4
89015,55883,4
89019,113434,6
89030,35239,2
89031,69313,5
89032,55044,3
89044,81508,6
89052,80294,6
89074,71088,5
89081,53445,3
89084,65299,4
89101,29139,1
89102,38807,2
89103,42954,2
89104,42182,2
89106,31945,1
89107,50828,3
89108,47423,3
89109,37456,2
89110,48929,3
89113,74528,5
89115,39105,2
89117,62122,4
89118,51243,3
89119,39337,2
89120,58036,4
89121,47453,3
89122,43881,2
89123,67682,5
89124,77932,5
89128,62825,4
89129,72034,5
89130,70745,5
89131,88336,6
89134,77659,5
89135,79718,5
89139,69890,5
89141,75854,5
89142,55857,4
89143,76035,5
89144,85724,6
89145,61560,4
89146,57758,4
89147,59080,4
89148,69580,5
89149,81150,6
89156,55872,4
89161,83842,6
89166,77774,5
89169,35305,2
89178,94455,6
89179,85444,6
89183,68761,5
89191,40099,2
89502,38624,2
90001,34350,1
93013,68142,5
94523,86243,6
95224,63341,4
