,address,type,price,features,labels
0,"812 4th St, Braddock, PA 15104",Apartment for sale,"$49,000","['Studio', '--', '1,828']","['sqft', 'ba']"
1,"316 Kenmawr Ave, Braddock, PA 15104",Pre-foreclosure / Auction, ,"['3', '1', '930']","['sqft', 'bds', 'ba']"
2,"201-203 Holland Ave, Braddock, PA 15104",Pre-foreclosure / Auction, ,"['6', '1', '2,184']","['sqft', 'bds', 'ba']"
3,"526 Hawkins Ave, Braddock, PA 15104",Pre-foreclosure / Auction, ,"['3', '1', '1,472']","['sqft', 'bds', 'ba']"
4,"1187 Ridge Ave, Braddock, PA 15104",For sale by owner,"$64,999","['2', '2', '1,232']","['sqft', 'bds', 'ba']"
5,"901 6th St, Braddock, PA 15104",House for sale,"$31,000","['2', '2', '1,280']","['sqft', 'bds', 'ba']"
6,"220 Mills Ave, Braddock, PA 15104",Auction,"$29,516","['4', '1', '1,610']","['sqft', 'bds', 'ba']"
7,"500 Mills Ave APT 1, Braddock, PA 15104",Apartment for rent,$425/mo,"['1', '1', '650']","['bd', 'sqft', 'ba']"
8,"1534 Ridge Ave, Braddock, PA 15104",House for rent,$795/mo,"['3', '1', '1,408']","['sqft', 'bds', 'ba']"
9,"411 Kenmawr Ave, Braddock, PA 15104",House for sale,"$50,000","['3', '2', '1,116']","['sqft', 'bds', 'ba']"
10,"1514 Wolf Ave N Braddock, Pittsburgh, PA 15104",House for rent,$850/mo,"['3', '1', '1,070']","['sqft', 'bds', 'ba']"
11,"1023 Highland St, Braddock, PA 15104",Pre-foreclosure / Auction,$--,"['2', '1.5', '900']","['sqft', 'bds', 'ba']"
12,"527 Garden Ct, Braddock, PA 15104",Pre-foreclosure / Auction,$--,"['2', '2', '1,800']","['sqft', 'bds', 'ba']"
13,"633 1st St, Braddock, PA 15104",Pre-foreclosure / Auction,$--,"['2', '1.5', '1,500']","['sqft', 'bds', 'ba']"
14,"613 Baldridge Ave, Braddock, PA 15104",House for sale,"$125,000","['3', '2', '1,472']","['sqft', 'bds', 'ba']"
15,"503 Ann St, Braddock, PA 15104",Townhouse for sale,"$15,000","['4', '1', '1,428']","['sqft', 'bds', 'ba']"
16,"100 2nd St, Rankin, PA 15104",House for sale,"$670,000","['Studio', '--', '--']","['sqft', 'ba']"
17,"203 Comrie Ave, Braddock, PA 15104",House for sale,"$44,900","['3', '1', '1,296']","['sqft', 'bds', 'ba']"
18,"1802 Wolfe Ave, Braddock, PA 15104",Pre-foreclosure / Auction,$--,"['8', '4', '2,838']","['sqft', 'bds', 'ba']"
19,"811 2nd St, Braddock, PA 15104",Pre-foreclosure / Auction,$--,"['2', '1', '1,120']","['sqft', 'bds', 'ba']"
20,"1063 Wolfe Ave, Braddock, PA 15104",Pre-foreclosure / Auction, ,"['3', '1', '2,025']","['sqft', 'bds', 'ba']"
21,"1020 Kirkpatrick Ave, Braddock, PA 15104",Pre-foreclosure / Auction,$--,"['4', '1.5', '1,936']","['sqft', 'bds', 'ba']"
22,"Mills Ave, Braddock, PA 15104",Foreclosure,$--,"['4', '1', '1,610']","['sqft', 'bds', 'ba']"
23,"1912 Johnson St, Braddock, PA 15104",House for rent,$795/mo,"['3', '1', '1,283']","['sqft', 'bds', 'ba']"
24,"1761 Hassam Rd, Coraopolis, PA 15108",House for sale,"$399,000","['3', '4', '3,148']","['sqft', 'bds', 'ba']"
