,address,type,price,features,labels
0,"9177 Collington Sq, Allison Park, PA 15101",Townhouse for rent,"$1,550/mo","['3', '1.5', '1,404']","['sqft', 'ba', 'bds']"
1,"400 Chapel Rd, Center Township, PA 15101",House for sale,"$235,000","['3', '2', '3,648']","['sqft', 'ba', 'bds']"
2,"9003 Elm St, Allison Park, PA 15101",House for sale,"$199,900","['3', '2', '1,238']","['sqft', 'ba', 'bds']"
3,"1111 Burchfield Rd, Allison Park, PA 15101",House for sale,"$625,000","['3', '4', '2,527']","['sqft', 'ba', 'bds']"
4,"1865 Concord Dr, Allison Park, PA 15101",House for sale,"$269,900","['4', '3', '2,214']","['sqft', 'ba', 'bds']"
5,"2348 California Dr, Allison Park, PA 15101",House for rent,"$1,625/mo","['3', '1.5', '984']","['sqft', 'ba', 'bds']"
6,"2853 School Rd, Allison Park, PA 15101",House for sale,"$210,000","['2', '3', '1,200']","['sqft', 'ba', 'bds']"
7,"9482 Meadow Rd, Allison Park, PA 15101",House for rent,"$1,400/mo","['3', '1', '1,200']","['sqft', 'ba', 'bds']"
8,"2324 Big Rock Rd, Allison Park, PA 15101",Townhouse for rent,"$1,500/mo","['2', '2.5', '1,576']","['sqft', 'ba', 'bds']"
9,"A-00097 Peebles Rd, Mccandless, PA 15101",House for sale,"$89,900","['Studio', '--', '--']","['sqft', 'ba']"
10,"B-00179 Peebles, Mccandless, PA 15101",House for sale,"$89,900","['Studio', '--', '--']","['sqft', 'ba']"
11,"4679 Greenwood Dr, Allison Park, PA 15101",House for sale,"$450,000","['4', '5', '2,892']","['sqft', 'ba', 'bds']"
12,"3035 Talley Cavey Cir, Allison Park, PA 15101",House for sale,"$180,000","['3', '1', '1,322']","['sqft', 'ba', 'bds']"
13,"9120 Peebles Rd, Allison Park, PA 15101",Pre-foreclosure / Auction, ,"['2', '1', '886']","['sqft', 'ba', 'bds']"
14,"3924 S Monet Ct, Allison Park, PA 15101",House for sale,"$379,900","['4', '3', '2,400']","['sqft', 'ba', 'bds']"
15,"2529 Royalview Dr, Allison Park, PA 15101",House for sale,"$275,000","['3', '3', '2,030']","['sqft', 'ba', 'bds']"
16,"4610 Woodlake Dr, Allison Park, PA 15101",House for sale,"$249,900","['3', '3', '1,736']","['sqft', 'ba', 'bds']"
17,"3972 Middle Rd, Allison Park, PA 15101",House for sale,"$670,000","['4', '4', '5,032']","['sqft', 'ba', 'bds']"
18,"3030 Sturbridge Ct, Allison Park, PA 15101",House for sale,"$499,000","['5', '3', '2,758']","['sqft', 'ba', 'bds']"
19,"811 Ledgeview Dr, Allison Park, PA 15101",House for sale,"$239,000","['4', '3', '1,311']","['sqft', 'ba', 'bds']"
20,"4087 Tall Timber Dr, Allison Park, PA 15101",House for sale,"$335,000","['4', '3', '2,080']","['sqft', 'ba', 'bds']"
21,"9306 Chase Pl, Allison Park, PA 15101",House for sale,"$315,000","['4', '3', '2,190']","['sqft', 'ba', 'bds']"
22,"1787 Duncan Ave, Allison Park, PA 15101",Pre-foreclosure / Auction, ,"['2', '1.5', '1,704']","['sqft', 'ba', 'bds']"
23,"2730 Tillia St, Allison Park, PA 15101",For sale by owner,"$219,999","['3', '2', '1,800']","['sqft', 'ba', 'bds']"
24,"812 4th St, Braddock, PA 15104",Apartment for sale,"$49,000","['Studio', '--', '1,828']","['sqft', 'ba']"
25,"316 Kenmawr Ave, Braddock, PA 15104",Pre-foreclosure / Auction, ,"['3', '1', '930']","['sqft', 'ba', 'bds']"
26,"201-203 Holland Ave, Braddock, PA 15104",Pre-foreclosure / Auction, ,"['6', '1', '2,184']","['sqft', 'ba', 'bds']"
27,"526 Hawkins Ave, Braddock, PA 15104",Pre-foreclosure / Auction, ,"['3', '1', '1,472']","['sqft', 'ba', 'bds']"
28,"1187 Ridge Ave, Braddock, PA 15104",For sale by owner,"$64,999","['2', '2', '1,232']","['sqft', 'ba', 'bds']"
29,"901 6th St, Braddock, PA 15104",House for sale,"$31,000","['2', '2', '1,280']","['sqft', 'ba', 'bds']"
30,"220 Mills Ave, Braddock, PA 15104",Auction,"$29,516","['4', '1', '1,610']","['sqft', 'ba', 'bds']"
31,"500 Mills Ave APT 1, Braddock, PA 15104",Apartment for rent,$425/mo,"['1', '1', '650']","['sqft', 'ba', 'bd']"
32,"1534 Ridge Ave, Braddock, PA 15104",House for rent,$795/mo,"['3', '1', '1,408']","['sqft', 'ba', 'bds']"
33,"411 Kenmawr Ave, Braddock, PA 15104",House for sale,"$50,000","['3', '2', '1,116']","['sqft', 'ba', 'bds']"
34,"1514 Wolf Ave N Braddock, Pittsburgh, PA 15104",House for rent,$850/mo,"['3', '1', '1,070']","['sqft', 'ba', 'bds']"
35,"1023 Highland St, Braddock, PA 15104",Pre-foreclosure / Auction,$--,"['2', '1.5', '900']","['sqft', 'ba', 'bds']"
36,"633 1st St, Braddock, PA 15104",Pre-foreclosure / Auction,$--,"['2', '1.5', '1,500']","['sqft', 'ba', 'bds']"
37,"527 Garden Ct, Braddock, PA 15104",Pre-foreclosure / Auction,$--,"['2', '2', '1,800']","['sqft', 'ba', 'bds']"
38,"613 Baldridge Ave, Braddock, PA 15104",House for sale,"$125,000","['3', '2', '1,472']","['sqft', 'ba', 'bds']"
39,"503 Ann St, Braddock, PA 15104",Townhouse for sale,"$15,000","['4', '1', '1,428']","['sqft', 'ba', 'bds']"
40,"100 2nd St, Rankin, PA 15104",House for sale,"$670,000","['Studio', '--', '--']","['sqft', 'ba']"
41,"203 Comrie Ave, Braddock, PA 15104",House for sale,"$44,900","['3', '1', '1,296']","['sqft', 'ba', 'bds']"
42,"1802 Wolfe Ave, Braddock, PA 15104",Pre-foreclosure / Auction,$--,"['8', '4', '2,838']","['sqft', 'ba', 'bds']"
43,"1020 Kirkpatrick Ave, Braddock, PA 15104",Pre-foreclosure / Auction,$--,"['4', '1.5', '1,936']","['sqft', 'ba', 'bds']"
44,"811 2nd St, Braddock, PA 15104",Pre-foreclosure / Auction,$--,"['2', '1', '1,120']","['sqft', 'ba', 'bds']"
45,"Mills Ave, Braddock, PA 15104",Foreclosure,$--,"['4', '1', '1,610']","['sqft', 'ba', 'bds']"
46,"1063 Wolfe Ave, Braddock, PA 15104",Pre-foreclosure / Auction, ,"['3', '1', '2,025']","['sqft', 'ba', 'bds']"
47,"1912 Johnson St, Braddock, PA 15104",House for rent,$795/mo,"['3', '1', '1,283']","['sqft', 'ba', 'bds']"
48,"915 Fleming St, Coraopolis, PA 15108",House for sale,"$115,000","['4', '2', '1,408']","['sqft', 'ba', 'bds']"
49,"3004 Nottinghill Dr, Coraopolis, PA 15108",House for sale,"$289,900","['4', '3', '1,692']","['sqft', 'ba', 'bds']"
50,"222 Oakhaven Dr, Coraopolis, PA 15108",House for sale,"$415,000","['4', '3', '2,504']","['sqft', 'ba', 'bds']"
51,"1761 Hassam Rd, Coraopolis, PA 15108",House for sale,"$399,000","['3', '4', '3,148']","['sqft', 'ba', 'bds']"
52,"103 Hemingway Ln, Kennedy Twp, PA 15108",House for rent,"$2,500/mo","['4', '3', '2,188']","['sqft', 'ba', 'bds']"
53,"314 Parkridge Ln, Coraopolis, PA 15108",Townhouse for sale,"$164,900","['2', '2', '1,300']","['sqft', 'ba', 'bds']"
54,"105 Heldon Dr, Coraopolis, PA 15108",House for rent,"$2,545/mo","['4', '3', '2,152']","['sqft', 'ba', 'bds']"
55,"101 Fitzrandolph Dr, Coraopolis, PA 15108",House for sale,"$389,900","['4', '3', '2,376']","['sqft', 'ba', 'bds']"
56,"1402 4th Ave, Coraopolis, PA",For Rent,,"['$600', '$725']","['2 bds', '1 bd']"
57,"1432 Rosedale Ave, Coraopolis, PA 15108",House for sale,"$120,000","['3', '2', '2,621']","['sqft', 'ba', 'bds']"
58,"Waterford Landing | 1200 Landing Ln, Moon Township, PA",Waterford Landing,,"['$954+', '$1,199+', '$1,644+']","['2 bds', '1 bd', '3 bds']"
59,"259 Moon Clinton Rd, Coraopolis, PA 15108",House for sale,"$224,900","['3', '2', '1,534']","['sqft', 'ba', 'bds']"
60,"276 Overlook Ct, Coraopolis, PA 15108",Townhouse for rent,"$1,550/mo","['2', '1.5', '1,116']","['sqft', 'ba', 'bds']"
61,"205 Coraopolis Rd # C8, Coraopolis, PA 15108",Condo for sale,"$79,500","['2', '1', '919']","['sqft', 'ba', 'bds']"
62,"521 Forest Green Dr, Coraopolis, PA 15108",Condo for sale,"$72,900","['2', '2', '1,092']","['sqft', 'ba', 'bds']"
63,"116 Amy Jo Ln, Coraopolis, PA 15108",House for sale,"$699,900","['5', '5', '3,787']","['sqft', 'ba', 'bds']"
64,"223 Havenwood Dr, Coraopolis, PA 15108",House for sale,"$229,924","['3', '2', '1,178']","['sqft', 'ba', 'bds']"
65,"186 Lockheed Dr, Moon Twp, PA",New construction,"$295,580","['3', '3', '1,842']","['sqft', 'ba', 'bds']"
66,"188 Lockheed Dr, Moon Twp, PA",New construction,"$295,580","['3', '3', '1,823']","['sqft', 'ba', 'bds']"
67,"1039 State Ave, Coraopolis, PA 15108",Apartment for rent,$850/mo,"['1', '1', '--']","['sqft', 'ba', 'bd']"
68,"203 Coraopolis Rd APT 3, Coraopolis, PA 15108",Apartment for rent,$925/mo,"['2', '1', '919']","['sqft', 'ba', 'bds']"
69,"284 Forest Grove Rd, Coraopolis, PA 15108",House for rent,$725/mo,"['2', '1', '--']","['sqft', 'ba', 'bds']"
70,"914 1st Ave # 1ST, Coraopolis, PA 15108",Apartment for rent,$850/mo,"['2', '1', '--']","['sqft', 'ba', 'bds']"
71,"461 Amherst Ave, Coraopolis, PA 15108",House for sale,"$233,900","['3', '3', '1,363']","['sqft', 'ba', 'bds']"
72,"117 Olde Manor Ln, Coraopolis, PA 15108",House for sale,"$699,000","['5', '6', '4,299']","['sqft', 'ba', 'bds']"
73,"St. Leo Plan, Wiltshire Estates",New construction,"$245,900+","['3', '2.5', '1,805']","['sqft', 'ba', 'bds']"
