postal_code,yelp_1,yelp_2,yelp_3,yelp_4,total_restaurants,review_count,stars,creditcard,bikeparking,outdoorseating,appointmentonly,goodforkids,perc_yelp_1,perc_yelp_2,perc_yelp_3,perc_yelp_4,city,agi,costindex,A02650,A00200,A00300,A00600,A00650,A01000,agi_1,agi_2,agi_3,agi_4,agi_5,agi_6,affluence,medianincome,zillowmeanprice19,zillowmeanprice18,whole_foods,core_power,trader_joes
15044,0,1,0,0,1,36,4.5,1,1,0,0,1,0,1,0,0,Pittsburgh,1760088,78.66,1785610,1259111,12535,45915,36333,62603,4090,2090,1630,1470,3240,2020,3,84957,160.7057976,161.2104306,0,0,0
15101,0,1,0,0,1,33,3.5,0,1,1,0,1,0,1,0,0,Pittsburgh,1167456,78.66,1186186,804369,6919,32227,25284,34583,3790,2220,1740,1410,2700,1090,3,72551,151.18784,151.8510224,0,0,0
15106,0,1,0,0,1,10,4,1,1,0,0,1,0,1,0,0,Pittsburgh,567640,78.66,576051,427291,2440,7904,6447,9839,3480,2690,1540,1030,1180,240,2,48659,123.3577484,116.5941179,0,0,0
15108,0,3,0,0,3,37,3.166666667,1,0.666666667,0.333333333,0,1,0,1,0,0,Pittsburgh,1596107,78.66,1616974,1214260,8951,23026,17319,28028,6210,4260,2930,2330,3940,1240,2,64014,146.4038615,133.8909697,0,0,0
15122,0,1,0,0,1,42,3,1,0,0,0,1,0,1,0,0,Pittsburgh,482728,78.66,487085,365004,2464,4122,3090,3457,3940,2790,1660,1060,930,80,2,46052,86.0482121,82.5501614,0,0,0
15126,0,1,0,0,1,5,4,1,0,0,0,1,0,1,0,0,Pittsburgh,241469,78.66,244014,198168,800,1622,1189,3112,1220,870,590,460,670,100,2,64366,133.8462094,122.7453955,0,0,0
15143,0,1,0,0,1,3,5,1,0,0,1,1,0,1,0,0,Pittsburgh,1912341,78.66,1942718,1104592,18919,104003,87684,167630,2740,1440,1130,980,2190,2040,3,84267,201.0653849,182.5659512,0,0,0
15146,0,1,0,0,1,4,2,1,0,0,0,1,0,1,0,0,Pittsburgh,898680,78.66,911733,638241,5190,16493,12719,18842,4760,3480,2460,1680,2090,410,2,58279,109.4916459,105.1932788,0,0,0
15201,57,121,21,0,199,62.85427136,4.042713568,0.91959799,0.939698492,0.195979899,0.070351759,0.809045226,0.286432161,0.608040201,0.105527638,0,Pittsburgh,428716,78.66,434210,331510,1412,4157,3662,6113,2290,2300,1180,670,680,200,2,35900,218.0963763,200.7867164,0,0,0
15202,20,20,1,2,43,16.65116279,3.709302326,0.930232558,0.674418605,0.093023256,0.069767442,0.88372093,0.465116279,0.465116279,0.023255814,0.046511628,Pittsburgh,565752,78.66,573383,449573,1922,7239,5563,8491,3640,3240,1550,900,1010,240,2,45961,103.344827,101.6211362,0,0,0
15203,105,163,25,7,300,53.38,3.638333333,0.93,0.933333333,0.216666667,0.023333333,0.78,0.35,0.543333333,0.083333333,0.023333333,Pittsburgh,318912,78.66,323968,264582,1134,3223,2421,4333,1590,1580,930,420,540,190,2,39541,152.9865076,150.3910651,0,0,0
15205,64,122,21,2,209,29.5215311,3.377990431,0.980861244,0.607655502,0.09569378,0.033492823,0.918660287,0.306220096,0.583732057,0.100478469,0.009569378,Pittsburgh,703436,78.66,713561,543797,2709,9355,7234,9644,4110,3480,1960,1100,1320,300,2,47441,104.4442587,102.1392031,0,0,0
15206,51,106,34,3,194,70.70103093,3.716494845,0.948453608,0.948453608,0.25257732,0.082474227,0.829896907,0.262886598,0.546391753,0.175257732,0.015463918,Pittsburgh,868452,78.66,881065,668645,3843,19693,15602,32209,5220,4100,1870,1000,1350,700,2,39661,167.53956,176.5666798,1,0,1
15207,8,10,0,0,18,44,4.111111111,0.777777778,0.888888889,0.333333333,0.055555556,0.833333333,0.444444444,0.555555556,0,0,Pittsburgh,222948,78.66,225332,178015,930,1467,1096,1743,2150,1550,710,440,400,30,2,35639,81.82481998,81.0157532,0,0,0
15209,11,16,2,0,29,34.10344828,3.844827586,0.965517241,0.655172414,0.068965517,0.034482759,0.862068966,0.379310345,0.551724138,0.068965517,0,Pittsburgh,364086,78.66,368499,285446,1727,3904,2969,4420,2180,1730,1050,720,860,130,2,54616,128.3925576,117.4895689,0,0,0
